시도명,시군구명,종량제봉투종류,가격,쓰레기봉투 용량,인구수
경상남도,사천시,규격봉투,1200,50L,107808.0
경기도,오산시,규격봉투,1200,50L,252414.0
강원특별자치도,평창군,규격봉투,1180,50L,39917.0
충청남도,논산시,규격봉투,1170,50L,106094.0
충청남도,계룡시,규격봉투,1170,50L,45972.0
충청남도,천안시,규격봉투,1150,50L,665858.0
충청남도,서산시,규격봉투,1150,50L,171306.0
경상남도,창녕군,규격봉투,1150,50L,54536.0
경기도,여주시,규격봉투,1150,50L,113541.0
충청북도,충주시,규격봉투,1150,50L,206179.0
강원특별자치도,춘천시,규격봉투,1140,50L,285160.0
전북특별자치도,전주시,규격봉투,1140,50L,621760.0
경상남도,산청군,규격봉투,1130,50L,32672.0
강원특별자치도,홍천군,규격봉투,1110,50L,65889.0
전북특별자치도,완주군,규격봉투,1100,50L,100033.0
경기도,과천시,규격봉투,1100,50L,80384.0
충청북도,영동군,규격봉투,1100,50L,43031.0
전라남도,장흥군,규격봉투,1100,50L,34006.0
강원특별자치도,정선군,규격봉투,1050,50L,35113.0
전라남도,해남군,규격봉투,1050,50L,62086.0
경상북도,경산시,재사용규격봉투,1050,50L,263639.0
경상북도,울진군,규격봉투,1000,50L,46096.0
경상남도,고성군,규격봉투,1000,50L,46849.0
경상남도,남해군,규격봉투,1000,50L,41091.0
충청남도,예산군,규격봉투,1000,50L,78337.0
충청남도,부여군,규격봉투,1000,50L,57822.0
충청남도,청양군,규격봉투,1000,50L,30081.0
경상남도,의령군,규격봉투,1000,50L,24481.0
전북특별자치도,고창군,규격봉투,990,50L,50148.0
전라남도,목포시,규격봉투,990,50L,199813.0
강원특별자치도,횡성군,규격봉투,980,50L,45596.0
경상남도,함양군,규격봉투,980,50L,35217.0
충청남도,보령시,규격봉투,980,50L,91353.0
강원특별자치도,철원군,규격봉투,970,50L,39727.0
경상북도,영주시,규격봉투,960,50L,96511.0
강원특별자치도,양구군,규격봉투,950,50L,20358.0
전라남도,화순군,규격봉투,920,50L,60008.0
전북특별자치도,순창군,규격봉투,900,50L,27611.0
강원특별자치도,영월군,규격봉투,900,50L,35757.0
경상남도,하동군,규격봉투,900,50L,39703.0
전라남도,담양군,규격봉투,900,50L,44112.0
전라남도,나주시,규격봉투,900,50L,116791.0
전북특별자치도,장수군,규격봉투(재사용포함),900,50L,21144.0
경상남도,거창군,규격봉투,900,50L,58874.0
경상북도,영천시,규격봉투,900,50L,94331.0
경상북도,고령군,규격봉투,900,50L,29581.0
강원특별자치도,태백시,규격봉투,890,50L,36853.0
전북특별자치도,김제시,규격봉투,890,50L,81665.0
경상남도,합천군,규격봉투,860,50L,38917.0
경상북도,김천시,규격봉투,860,50L,132840.0
경상북도,경주시,규격봉투,850,50L,243141.0
충청남도,아산시,규격봉투,850,50L,363223.0
강원특별자치도,양양군,규격봉투,830,50L,27417.0
충청남도,태안군,규격봉투,830,50L,59083.0
충청북도,단양군,규격봉투,800,50L,26623.0
전북특별자치도,임실군,규격봉투,790,50L,25347.0
전라남도,무안군,규격봉투,790,50L,95807.0
충청남도,공주시,규격봉투,790,50L,99841.0
전북특별자치도,정읍시,규격봉투,770,50L,100683.0
경상북도,의성군,규격봉투,750,50L,47893.0
경상북도,영양군,규격봉투,750,50L,15969.0
충청남도,서천군,규격봉투,750,50L,46844.0
강원특별자치도,인제군,규격봉투,740,50L,30752.0
경상북도,상주시,규격봉투,720,50L,89382.0
경상북도,예천군,규격봉투,720,50L,53467.0
경상북도,성주군,규격봉투,720,50L,40552.0
경상북도,안동시,규격봉투,720,50L,152246.0
강원특별자치도,삼척시,규격봉투,710,50L,60408.0
경상북도,청도군,재사용규격봉투,710,50L,40058.0
경상북도,울릉군,규격봉투,710,50L,8756.0
전라남도,장성군,규격봉투,700,50L,43009.0
전북특별자치도,남원시,규격봉투(재사용포함),700,50L,73937.0
충청북도,제천시,규격봉투,700,50L,128306.0
전라남도,강진군,규격봉투,700,50L,31746.0
전라남도,영광군,규격봉투,690,50L,53933.0
충청북도,괴산군,규격봉투,660,50L,37428.0
충청북도,옥천군,규격봉투,650,50L,50423.0
경상북도,문경시,규격봉투,650,50L,64792.0
충청북도,보은군,규격봉투,650,50L,30716.0
전라남도,진도군,규격봉투,650,50L,27884.0
전라남도,보성군,규격봉투,640,50L,36691.0
경상북도,영덕군,규격봉투,600,50L,32525.0
경상북도,봉화군,규격봉투,600,50L,28107.0
대구광역시,군위군,규격봉투,600,50L,22674.0
강원특별자치도,화천군,규격봉투,560,50L,22328.0
전라남도,신안군,규격봉투,540,50L,42207.0
전라남도,구례군,규격봉투,540,50L,23995.0
전라남도,함평군,규격봉투,530,50L,29490.0
전북특별자치도,진안군,규격봉투+재사용규격봉투,500,50L,24414.0
충청남도,금산군,규격봉투,500,50L,48975.0
전라남도,고흥군,규격봉투,450,50L,59047.0
경상북도,청송군,규격봉투,320,50L,23280.0
